Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,preset_Disease_Core,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_Nigeria_Mpox,preset_UK-CCP_Generic
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_uespec,text,Reason U&E not done:,,,,,,[rs_blood_ue]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_lft,radio,(LFT) Liver profile,"1, Yes | 0, No",,,,,[rs_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_lftspec,text,Reason LFT not done:,,,,,,[rs_blood_lft]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_bone,radio,Bone profile,"1, Yes | 0, No",,,,,[rs_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_bonespec,text,Reason Bone profile not done:,,,,,,[rs_blood_bone]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_gluc,radio,Blood glucose,"1, Yes | 0, No",,,,,[rs_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_glucspec,text,Reason Blood glucose not done:,,,,,,[rs_blood_gluc]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_hiv,radio,HIV serology (only at admission),"1, Yes | 0, No",,,,,[rs_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_hivspec,text,Reason HIV serology not done:,,,,,,[rs_blood_hiv]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_cd4,radio,"CD4 Count (if HIV positive, only at admission)","1, Yes | 0, No",,,,,[rs_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_cd4spec,text,Reason CD4 Count not done:,,,,,,[rs_blood_cd4]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_igg,radio,Serology IgG/IgM (Plain Blood tube),"1, Yes | 0, No",,,,,[rs_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_iggspec,text,Reason serology IgG/IgM not done:,,,,,,[rs_blood_igg]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_pcr,radio,Blood for Mpox PCR (EDTA Tube),"1, Yes | 0, No",,,,,[rs_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_blood_pcrspec,text,Reason blood for Mpox PCR not done:,,,,,,[rs_blood_pcr]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox,group,MPOX SAMPLES,,,,,,,,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_yn,radio,Were Research Mpox Samples taken on this day (Results of Mpox Samples do not need to be recorded on the CRF),"1, Yes | 0, No",,,,,[rs_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_date,date_dmy,"If YES, date of Research Mpox Sampling",,,,today,,[rs_mpox_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_reas,text,"If NO, specify reason:",,,,,,[rs_mpox_yn]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_throat,radio,Throat swab for Mpox PCR,"1, Yes | 0, No",,,,,[rs_mpox_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_throatspec,text,"If NO, reason throat swab not done:",,,,,,[rs_mpox_throat]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_swab,radio,Lesion swabs (x2) for Mpox PCR,"1, Yes | 0, No",,,,,[rs_mpox_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_swabspec,text,"If NO, reason lesions swabs not done:",,,,,,[rs_mpox_swab]='0',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_scab,radio,Lesion crust/scab for Mpox PCR,"1, Yes | 0, No",,,,,[rs_mpox_yn]='1',,,,1,
research_sampling,RESEARCH SAMPLING SUMMARY (Sample-specific RESEARCH SAMPLING results - eCRF includes multiple fields for several results) All Clinical Pathogen samples should be recorded on the clinical pathogen core Form,rs_mpox_scabspec,text,"If NO, reason lesion crust/scab not done:",,,,,,[rs_mpox_scab]='0',,,,1,
outcome_medication,MEDICATION,medi_medtype,user_list,Select all agents administered while hospitalised or at discharge,,,,,drugs_Type,,1,1,,1,
outcome_medication,MEDICATION,medi_antiviralagent,user_list,Antiviral,,,,,drugs_Antiviral,[medi_medtype] = '6',1,,1,1,
outcome_medication,MEDICATION,medi_antibioagent,user_list,Antibiotic,,,,,drugs_Antibiotics,[medi_medtype]='2',1,1,1,1,
outcome_medication,MEDICATION,medi_topicantibiotgent,radio,Topical antibiotic,"1, Penicillins | 2, Cephalosporins | 3, Tetracyclines | 4, Aminoglycosides | 5, Macrolides | 6, Sulfonamides and trimethoprim | 7, Quinolones | 88, Other",,,,,[medi_medtype] = '10',,,1,1,
outcome_medication,MEDICATION,medi_corticost,user_list,Corticosteroid,,,,,drugs_Steroids,[medi_medtype]='8',1,1,,,
outcome_medication,MEDICATION,medi_corticost_route,radio,Corticosteroid route,"1, Oral | 2, IV | 3, Topical | 4, Inhaled",,,,,[medi_medtype]='8',1,1,,,
outcome_medication,MEDICATION,medi_anticoaguagent,user_list,Anticoagulation,,,,,drugs_Anticoagulant,[medi_medtype]='3',1,,,,
outcome_medication,MEDICATION,medi_anticoaguagent_route,radio,Anticoagulation route,"1, Oral | 2, Subcutaneous | 3, IV",,,,,[medi_medtype]='3',1,,,,
outcome_medication,MEDICATION,medi_antifungagent,radio,Antifungal agent,"1, Clotrimazole | 2, Econazole | 3, Miconazole | 4, Terbinafine | 5, Fluconazole | 6, Ketoconazole | 7, Nystatin | 8, Amphotericin | 88, Other",,,,,[medi_medtype]='4',1,,,,
outcome_medication,MEDICATION,medi_inotropesvasopressor,radio,Inotropes/vasopressor,"1, Vasopressin | 2, Phenylephrine | 3, Epinephrine | 4, Norepinephrine | 5, Dopamine | 6, Angiotensin-II | 7, Terlipressin | 88, Other",,,,,[medi_medtype] = '9',,,1,,
outcome_medication,MEDICATION,medi_analgesic,radio,Analgesic agent,"1, Acetaminophen | 2, Ibuprofen  | 3, Naproxen  | 4, Diclofenac | 5, Tramadol | 88, Other",,,,,[medi_medtype]='1',,,1,1,
outcome_medication,MEDICATION,medi_analgesic_route,radio,Analgesic agent route,"1, Oral | 2, Subcutaneous | 3, IV | 4, IM | 5, Rectal | 6, Topical | 7, Sublingual",,,,,[medi_medtype]='1',,,1,1,
outcome_medication,MEDICATION,medi_antipruritic,radio,Antipruritic agent,"1, Hydrocortisone | 2, Calamine   | 3, Antihistamines | 4, Hydroxyzine | 88, Other",,,,,[medi_medtype]='5',,,1,1,
outcome_medication,MEDICATION,medi_antipruritic_route,radio,Antipruritic agent route,"1, Topical | 2, Oral | 3, IV | 4, IM ",,,,,[medi_medtype]='5',,,1,1,
outcome_medication,MEDICATION,medi_medother,text,Specify other agent,,,,,,[medi_medtype]='88',1,1,1,1,
outcome_medication,MEDICATION,medi_medstartdate,date_dmy,Date agent started / first dose,,date_dmy,,today,,,1,1,1,1,
outcome_medication,MEDICATION,medi_medenddate,date_dmy,Date agent ended / last dose,,date_dmy,,today,,,1,1,1,1,
outcome_medication,MEDICATION,medi_numdays,number,Total number of days treatment given,,number,,,,,1,1,1,1,
outcome_medication,MEDICATION,medi_frequency,text,Frequency,,,,,,[medi_medtype]='1',,,1,1,
outcome_medication,MEDICATION,medi_dose,text,Dose,,number,,,,[medi_medtype] = '2' or [medi_medtype]='6',,,1,1,
outcome_medication,MEDICATION,medi_units,number,Units,,,,,,[medi_medtype] = '2' or [medi_medtype]='6',,,1,1,
outcome_medication,MEDICATION,medi_numdoses,number,"Total number of doses (# of times the drug was injected/ swallowed/infused/inserted/applied, inhaled) ",,number,,,,[medi_medtype] = '2' or [medi_medtype]='6',,,1,1,
outcome_medication,MEDICATION,medi_standreg,radio,Was the standard regimen given,"1, Yes | 0, No | 99, Unknown",,,,,[medi_medtype] = '2' or [medi_medtype]='6',,,1,1,
outcome_medication,MEDICATION,medi_standreg_reas,text,Reason why standard regimen was not given ,,,,,,[medi_standreg]='0',,,1,1,
outcome_medication,MEDICATION,medi_mpox,group,MPOX,,,,,,,,,,1,
outcome_medication,MEDICATION,medi_mpox_freq,radio,Lesion cleaning frequency,"0, None | 99, Unknown | 2, Daily | 3, Twice weekly | 4, Once weekly | 88, Other",,,,,,,,,1,
outcome_medication,MEDICATION,medi_mpox_freqoth,text,Specify lesion cleaning frequency:,,,,,,[medi_mpox_freq]='88',,,,1,
outcome_medication,MEDICATION,medi_mpox_lesiclean,radio,Lesion cleaning agent,"0, None | 99, Unknown | 2, Saline | 3, Antiseptic solution | 4, Honey | 88, Other",,,,,,,,,1,
outcome_medication,MEDICATION,medi_mpox_lesicleanot,text,Specify other cleaning agent:,,,,,,[medi_mpox_lesiclean]='88',,,,1,
outcome_medication,MEDICATION,medi_mpox_oth,text,"Other lesion care, including use of dressings (describe)",,,,,,,,,,1,
outcome,DIAGNOSIS,diagn_covid,radio,SARS-CoV-2 (COVID-19),"1, Clinically assessed positive | 2, Lab confirmed | 0, Lab negative | 4, Not tested",,,,,,1,,,,
outcome,DIAGNOSIS,diagn_influenza,group,INFLUENZA,,,,,,,1,,,,
outcome,DIAGNOSIS,diagn_influenza_test,radio,Influenza,"1, Clinically assessed positive | 2, Lab confirmed | 0, Lab negative | 4, Not tested",,,,,,1,,,,
outcome,DIAGNOSIS,diagn_influenza_type,radio,Influenza type,"1, A-not typed | 2, A/H3N2 | 3, A/H1N1pdm09 | 4, A/H7N9 | 5, A/H5N1 | 6, B | 88, Other",,,,,[diagn_influenza]='2',1,,,,
outcome,DIAGNOSIS,diagn_influenza_other,text,Specify other influenza type,,,,,,[diagn_influenza_type]='88',1,,,,
outcome,DIAGNOSIS,diagn_influenza_seq,radio,Sequencing done,"1, Yes | 0, No | 99, Unknown",,,,,[diagn_influenza]='2',1,,,,
outcome,DIAGNOSIS,diagn_influeza_result,text,Influenza sequencing result,,,,,,[diagn_influenza_seq] = '1',1,,,,
outcome,DIAGNOSIS,diagn_influenza_resist,radio,Oseltamivir resistance identified,"1, Yes | 0, No | 99, Unknown",,,,,[diagn_influenza]='2',1,,,,
outcome,DIAGNOSIS,diagn_influenza_method,radio,Method used to identify influenza variant,"1, Genomic sequencing | 2, S-gene target failure (SGTF) testing | 3, PCR genotyping",,,,,[diagn_influenza_type] = '1' or [diagn_influenza_type]='2' or [diagn_influenza_type]='3' or [diagn_influenza_type]='4' or [diagn_influenza_type]='5' or [diagn_influenza_type]='6',1,,,,
outcome,DIAGNOSIS,diagn_rsv,radio,Respiratory Syncytial Virus (RSV),"1, Lab confirmed | 0, Lab negative | 2, Not tested | 99, Unknown",,,,,,1,,,,
outcome,DIAGNOSIS,diagn_adenovirus,radio,Adenovirus,"1, Lab confirmed | 0, Lab negative | 2, Not tested | 99, Unknown",,,,,,1,,,,
outcome,DIAGNOSIS,diagn_mpox,radio,Mpox virus,"1, Lab confirmed | 0, Lab negative | 2, Clinical diagnosis of mpox without lab testing | 99, Unknown",,,,,,,,1,1,
outcome,DIAGNOSIS,diagn_chickenpox,radio,Chickenpox,"1, Lab confirmed | 0, Lab negative | 2, Clinical diagnosis of chickenpox without lab testing | 99, Unknown",,,,,,,,,1,
outcome,DIAGNOSIS,diagn_hepatitis,group,HEPATITIS,,,,,,,1,1,,,
outcome,DIAGNOSIS,diagn_hepatitis_test,radio,Hepatitis viruses,"1, Lab confirmed | 0, Lab negative | 2, Not tested | 99, Unknown",,,,,,1,1,,,
outcome,DIAGNOSIS,diagn_hepatitis_type,radio,Hepatitis type,"1, A | 2, B | 3, C | 4, D | 5, E | 88, Other",,,,,[diagn_hepatitis_test] = '1',1,1,,,
outcome,DIAGNOSIS,diagn_hepatitist_other,text,Specify other hepatitis type,,,,,,[diagn_hepatitis_type]='88',1,1,,,
outcome,DIAGNOSIS,diagn_dengue,group,DENGUE,,,,,,,,1,,,
outcome,DIAGNOSIS,diagn_dengue_test,radio,Dengue virus infection,"1, Tested | 0, Not tested | 99, Unknown",,,,,,,1,,,
outcome,DIAGNOSIS,diagn_dengue_nsi,radio,NS1 RDT,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_ns1,radio,NS1/IgM/IgG combination test (RDT) - NS1,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_igm,radio,NS1/IgM/IgG combination test (RDT) - IgM,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_igg,radio,NS1/IgM/IgG combination test (RDT) - IgG,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_elisa,radio,NS1 ELISA,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_datefs,date_dmy,IgM/IgG ELISA first sample date,,date_dmy,,today,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_igmfs,radio,IgM ELISA first sample,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_iggfs,radio,IgG ELISA first sample,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_datess,date_dmy,IgM/IgG ELISA second sample date,,date_dmy,,today,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_igmss,radio,IgM ELISA second sample,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_iggss,radio,IgG ELISA second sample,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_pcr,radio,Dengue PCR,"1, Positive | 0, Negative | 99, Not done",,,,,[diagn_dengue_test] = '1',,1,,,
outcome,DIAGNOSIS,diagn_dengue_pcrtyp,radio,Dengue virus type,"1, DENV1 | 2, DENV2 | 3, DENV3 | 4, DENV4",,,,,[diagn_dengue_pcr] = '1',,1,,,
outcome,DIAGNOSIS,diagn_bacte_occur,list,Bacterial infection,"1, Lab confirmed | 0, Lab negative | 2, Not done | 99, Unknown",,,,pathogens_Bacteria,,1,1,1,1,
outcome,DIAGNOSIS,diagn_encephali,radio,Select pathogen detected (_Under revision),"1, Nipah | 2, JE | 3, HSV",,,,,,,,,,
outcome,DIAGNOSIS,diagn_encephali_type,radio,Diagnostic method (_Under revision),"1, Clinically assessed positive | 2, Lab confirmed | 3, Lab negative | 99, Not tested",,,,,,,,,,
outcome,DIAGNOSIS,diagn_pathounlist,list,Other pathogen(s) detected,"1, Yes | 0, No | 99, Unknown",,,,pathogens_Other,,1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_viralpneum,radio,Viral pneumonia / pneumonitis,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_bacpneumo,radio,Bacterial pneumonia,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_pneumothor,radio,Pneumothorax,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_pleuraleff,radio,Pleural effusion,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_copneumoni,radio,Cryptogenic organising pneumonia (COP),"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_bronchioli,radio,Bronchiolitis,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_myocardial,radio,Myocardial infarction,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_cardiacisc,radio,Cardiac ischaemia,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_endocardit,radio,Endocarditis,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_cardiomyop,radio,Cardiomyopathy,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_chf,radio,Congestive heart failure,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_strokecva,radio,Stroke / cerebrovascular accident,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_severeneuro,radio,Severe neurological disease,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_cellulitis,group,Cellulitis,,,,,,,,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_cellulitis_yn,radio,Cellulitis,"1, Yes | 0, No | 99, Unknown",,,,,,,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_cellulitis_site,checkbox,Site of cellulitis,"1, Skin | 2, Nose | 3, Gums | 4, GI tract | 5, Urinary tract | 6, Vagina | 88, Other",,,,,[compl_cellulitis_yn] = '1',,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_cellulitis_other,text,Specify other site of cellulitis,,,,,,[compl_cellulitis_site(88)]='1',,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_bacteraemi,radio,Bacteraemia,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_thrombemb,group,Thromboembolism,,,,,,,1,,,,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_thrombemb_yn,radio,Thromboembolism,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_thrombemb_pe,radio,Pulmonary embolism (PE),"1, Yes | 0, No | 99, Unknown",,,,,[compl_thrombemb_yn]=1,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_thrombemb_dvt,radio,Deep vein thrombosis (DVT),"1, Yes | 0, No | 99, Unknown",,,,,[compl_thrombemb_yn]=1,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_thrombemb_oth,radio,Other thromboembolism (not PE or DVT),"1, Yes | 0, No | 99, Unknown",,,,,[compl_thrombemb_yn]=1,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_thrombemb_spec,text,Specify other thromboembolism,,,,,,[compl_thrombemb_oth]='1',,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_anaemia,radio,Anaemia,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_rhabdomyol,radio,Rhabdomyolysis / myositis,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_ascites,radio,Ascites,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_pancreatit,radio,Pancreatitis,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_hyperglyce,radio,Hyperglycemia,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_hypoglycem,radio,Hypoglycemia,"1, Yes | 0, No | 99, Unknown",,,,,,1,,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_shock,radio,Shock ,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_reshock,radio,Re-shock episodes,"1, Yes | 0, No | 99, Unknown",,,,,,,1,,,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_reshockep,radio,Number of re-shock episodes,"1, 1 | 2, 2 | 3, 3 | 4, 4+ | 99, Unknown",,,,,[compl_reshock]='1',,1,,,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_severebleed,group,Severe bleeding (requiring intervention),,,,,,,1,,,,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_severebleed_yn,radio,Severe bleeding (requiring intervention),"1, Yes | 0, No | 99, Unknown",,,,,,1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_severebleed_site,checkbox,Site of bleeding,"1, Skin | 2, Nose | 3, Gums | 4, GI tract | 5, Urinary tract | 6, Vaginal | 88, Other",,,,,[compl_severebleed_yn] = '1',1,1,1,,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_severebleed_oth,text,Specify other site of bleeding,,,,,,[compl_severebleed_site(88)]='1',1,1,1,,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_pleurascite,radio,Pleural effusion / Ascites,"1, Yes | 0, No | 99, Unknown",,,,,,,1,,,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_seizure,radio,Seizure,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_focalneuro,radio,Focal neurological signs,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_meningitis,radio,Encephalitis / Meningitis,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_sepsis,radio,Sepsis,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_coagulatio,radio,Coagulation disorder / DIC,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_othorgan,radio,Any other organ complications,"1, Yes | 0, No | 99, Unknown",,,,,,,1,,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_othorganspec,text,Specify other organ complications,,,,,,[compl_othorgan]='1',,,,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_ards,radio,Acute Respiratory Distress Syndrome (ARDS),"1, Yes | 0, No | 99, Unknown",,,,,[compl_othorgan]='1',1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_cardiarrhy,radio,Cardiac arrhythmia,"1, Yes | 0, No | 99, Unknown",,,,,[compl_othorgan]='1',1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_cardiarrest,radio,Cardiac arrest,"1, Yes | 0, No | 99, Unknown",,,,,[compl_othorgan]='1',,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_myocarditi,radio,Myocarditis / pericarditis,"1, Yes | 0, No | 99, Unknown",,,,,[compl_othorgan]='1',1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_acuterenal,radio,Acute renal injury / acute renal failure,"1, Yes | 0, No | 99, Unknown",,,,,[compl_othorgan]='1',1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_severeliver,radio,Severe liver disease (new onset),"1, Yes | 0, No | 99, Unknown",,,,,[compl_othorgan]='1',1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_acutehepat,radio,Acute hepatitis,"1, Yes | 0, No | 99, Unknown",,,,,[compl_severeliver] = '1',1,1,1,1,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_liverfailure,radio,Liver failure ,"1, Yes | 0, No | 99, Unknown",,,,,[compl_severeliver] = '1',,,,,
outcome,COMPLICATIONS (experienced any time during hospitalisation),compl_jaundice,radio,Jaundice,"1, Yes | 0, No | 99, Unknown",,,,,[compl_severeliver] = '1',1,,1,1,
